epoch_h,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,hyper_param,hp_update
33,1.4402270317077637,0.46,3.681384563446045,0.08,3.7939445972442627,0.12,"tensor([-5.4799, -2.2200, -5.4103,  ..., -3.3260, -3.8556, -2.6981],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
34,1.419826626777649,0.44,3.717759370803833,0.08,3.9245944023132324,0.16,"tensor([-5.4993, -2.1882, -5.4316,  ..., -3.3078, -3.8800, -2.6983],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
35,1.4012902975082397,0.44,3.798820734024048,0.06,3.953965425491333,0.12,"tensor([-5.5220, -2.1529, -5.4539,  ..., -3.2956, -3.9032, -2.7004],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
36,1.4091796875,0.42,3.7579076290130615,0.08,3.868804693222046,0.14,"tensor([-5.5429, -2.1211, -5.4733,  ..., -3.2736, -3.9310, -2.7048],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
37,1.4872382879257202,0.38,3.6529552936553955,0.12,3.6464765071868896,0.12,"tensor([-5.5490, -2.1045, -5.4861,  ..., -3.2713, -3.9621, -2.7098],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
38,1.4280674457550049,0.42,3.685091257095337,0.1,3.6642653942108154,0.16,"tensor([-5.5710, -2.0691, -5.5089,  ..., -3.2733, -3.9984, -2.7171],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
39,1.3725887537002563,0.36,3.933969736099243,0.08,3.9867641925811768,0.12,"tensor([-5.5887, -2.0390, -5.5271,  ..., -3.2478, -4.0291, -2.7273],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
40,1.3257724046707153,0.44,3.7951977252960205,0.08,3.868863582611084,0.12,"tensor([-5.6056, -2.0124, -5.5430,  ..., -3.2375, -4.0557, -2.7393],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
41,1.2942906618118286,0.5,4.051465034484863,0.1,4.192154407501221,0.18,"tensor([-5.6339, -1.9723, -5.5652,  ..., -3.2121, -4.0779, -2.7537],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
42,1.3164761066436768,0.42,4.036684513092041,0.12,4.135590553283691,0.14,"tensor([-5.6544, -1.9435, -5.5812,  ..., -3.1912, -4.1007, -2.7714],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
